trip_id,date_departure,date_arrival,status,client_id,client_name,client_region,route_id,origin_city,destination_city,route_type,cargo_type,trip_distance_km,route_distance_km,route_has_port,truck_id,truck_brand,truck_model,truck_capacity_tons,truck_year,driver_id,driver_name,driver_commission_rate,cargo_tons_actual,load_factor_pct,delay_hours,revenue_uah,estimated_fuel_liters
TRP-00023,2022-07-03,2022-07-04,completed,CLT-01,ТОВ Соняшник-Агро,Кіровоградська,RTE-01,Кропивницький,Дніпро,highway,sunflower,246.0,246,0,TRK-02,DAF,XF 106,23.0,2016,DRV-02,Віталій Бондаренко,0.12,21.33,92.7,0.4,12855.591,95.45
TRP-00024,2022-07-03,2022-07-05,completed,CLT-03,ТОВ Полтавські Лани,Полтавська,RTE-03,Полтава,Чорноморськ,highway,wheat,612.0,612,1,TRK-03,DAF,CF 85,21.5,2017,DRV-03,Сергій Мельник,0.12,20.42,95.0,0.1,23744.376,321.05
TRP-00025,2022-07-03,2022-07-04,delayed,CLT-01,ТОВ Соняшник-Агро,Кіровоградська,RTE-01,Кропивницький,Дніпро,highway,sunflower,246.0,246,0,TRK-03,DAF,CF 85,21.5,2017,DRV-03,Сергій Мельник,0.12,20.03,93.1,2.1,12072.081,129.05
TRP-00026,2022-07-03,2022-07-03,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,26.39,110.0,0.3,5290.6672,56.85
TRP-00027,2022-07-03,2022-07-03,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,18.34,76.4,1.1,3800.048,56.85
TRP-00028,2022-07-03,2022-07-03,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-05,Scania,R450,24.5,2018,DRV-05,Ігор Шевченко,0.13,25.3,103.2,1.0,5072.144,54.93
TRP-00029,2022-07-03,2022-07-03,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-05,Scania,R450,24.5,2018,DRV-05,Ігор Шевченко,0.13,21.85,89.2,1.8,4527.32,54.93
TRP-00030,2022-07-03,2022-07-03,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-08,DAF,XF 480,25.0,2020,DRV-08,Юрій Дорошенко,0.13,21.54,86.2,1.6,4463.088,54.15
TRP-00031,2022-07-03,2022-07-04,completed,CLT-11,ТОВ Нива Експорт,Одеська,RTE-10,Подільськ,Чорноморськ,highway,wheat,214.0,214,1,TRK-10,Scania,G450,24.0,2021,DRV-10,Дмитро Лисенко,0.12,23.57,98.2,0.6,8373.0068,90.72
TRP-00032,2022-07-04,2022-07-04,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,18.08,75.3,1.6,1748.6976,26.4
TRP-00033,2022-07-04,2022-07-04,completed,CLT-05,ТОВ Соєвий Дім,Черкаська,RTE-05,Черкаси,Кременчук,local,soy,118.0,118,0,TRK-05,Scania,R450,24.5,2018,DRV-05,Ігор Шевченко,0.13,22.27,90.9,0.4,7068.9434,57.87
TRP-00034,2022-07-04,2022-07-06,completed,CLT-03,ТОВ Полтавські Лани,Полтавська,RTE-03,Полтава,Чорноморськ,highway,corn,612.0,612,1,TRK-06,MAN,TGX 18.440,23.5,2019,DRV-06,Микола Ткаченко,0.12,23.15,98.5,1.7,23518.548,320.89
TRP-00035,2022-07-04,2022-07-04,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-06,MAN,TGX 18.440,23.5,2019,DRV-06,Микола Ткаченко,0.12,17.28,73.5,1.6,4025.5488,58.72
TRP-00036,2022-07-04,2022-07-04,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-07,Mercedes,Actros 1845,24.0,2019,DRV-11,Тарас Гончар,0.13,21.13,88.0,0.0,4378.136,54.93
TRP-00037,2022-07-04,2022-07-05,completed,CLT-11,ТОВ Нива Експорт,Одеська,RTE-10,Подільськ,Чорноморськ,highway,wheat,214.0,214,1,TRK-08,DAF,XF 480,25.0,2020,DRV-08,Юрій Дорошенко,0.13,23.98,95.9,1.1,8518.6552,103.47
TRP-00038,2022-07-04,2022-07-05,completed,CLT-06,АгроЛогістика Центр,Вінницька,RTE-06,Вінниця,Київ,highway,sunflower,267.0,267,0,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,22.94,91.8,0.0,14332.4532,89.76
TRP-00039,2022-07-05,2022-07-06,completed,CLT-06,АгроЛогістика Центр,Вінницька,RTE-06,Вінниця,Київ,highway,soy,267.0,267,0,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,18.33,76.4,0.9,11354.3352,135.53
TRP-00040,2022-07-05,2022-07-06,delayed,CLT-02,ПП ДніпроЗерно,Дніпропетровська,RTE-02,Дніпро,Одеса,highway,corn,472.0,472,1,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,23.02,95.9,14.0,19883.7552,140.99
TRP-00041,2022-07-05,2022-07-05,completed,CLT-05,ТОВ Соєвий Дім,Черкаська,RTE-05,Черкаси,Кременчук,local,soy,118.0,118,0,TRK-05,Scania,R450,24.5,2018,DRV-05,Ігор Шевченко,0.13,25.46,103.9,0.1,8081.5132,57.87
TRP-00042,2022-07-05,2022-07-06,completed,CLT-11,ТОВ Нива Експорт,Одеська,RTE-10,Подільськ,Чорноморськ,highway,wheat,214.0,214,1,TRK-06,MAN,TGX 18.440,23.5,2019,DRV-06,Микола Ткаченко,0.12,22.21,94.5,1.2,7889.8804,112.21
TRP-00043,2022-07-05,2022-07-05,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-06,MAN,TGX 18.440,23.5,2019,DRV-06,Микола Ткаченко,0.12,22.66,96.4,0.1,2156.3256,27.26
TRP-00044,2022-07-05,2022-07-05,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-06,MAN,TGX 18.440,23.5,2019,DRV-06,Микола Ткаченко,0.12,16.93,72.0,0.8,1707.8984,27.26
TRP-00045,2022-07-05,2022-07-06,completed,CLT-02,ПП ДніпроЗерно,Дніпропетровська,RTE-02,Дніпро,Одеса,highway,corn,472.0,472,1,TRK-07,Mercedes,Actros 1845,24.0,2019,DRV-07,Петро Романюк,0.13,22.67,94.5,0.6,19581.4392,231.5
TRP-00046,2022-07-05,2022-07-05,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-08,DAF,XF 480,25.0,2020,DRV-08,Юрій Дорошенко,0.13,17.25,69.0,0.9,1740.18,25.14
TRP-00047,2022-07-05,2022-07-05,completed,CLT-05,ТОВ Соєвий Дім,Черкаська,RTE-05,Черкаси,Кременчук,local,soy,118.0,118,0,TRK-08,DAF,XF 480,25.0,2020,DRV-08,Юрій Дорошенко,0.13,22.73,90.9,1.5,7214.9566,57.06
TRP-00048,2022-07-05,2022-07-05,delayed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-08,DAF,XF 480,25.0,2020,DRV-08,Юрій Дорошенко,0.13,22.83,91.3,7.3,4576.9584,54.15
TRP-00049,2022-07-05,2022-07-06,completed,CLT-06,АгроЛогістика Центр,Вінницька,RTE-06,Вінниця,Київ,highway,soy,267.0,267,0,TRK-08,DAF,XF 480,25.0,2020,DRV-08,Юрій Дорошенко,0.13,20.87,83.5,1.6,12927.7128,129.1
TRP-00050,2022-07-06,2022-07-07,completed,CLT-01,ТОВ Соняшник-Агро,Кіровоградська,RTE-01,Кропивницький,Дніпро,highway,sunflower,246.0,246,0,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,23.02,95.9,0.4,13591.008,73.48
TRP-00051,2022-07-06,2022-07-07,completed,CLT-06,АгроЛогістика Центр,Вінницька,RTE-06,Вінниця,Київ,highway,sunflower,267.0,267,0,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,16.55,68.9,0.4,11091.3135,79.75
TRP-00052,2022-07-06,2022-07-07,completed,CLT-06,АгроЛогістика Центр,Вінницька,RTE-06,Вінниця,Київ,highway,sunflower,267.0,267,0,TRK-06,MAN,TGX 18.440,23.5,2019,DRV-06,Микола Ткаченко,0.12,19.51,83.0,1.4,12085.2744,139.99
TRP-00053,2022-07-06,2022-07-08,completed,CLT-03,ТОВ Полтавські Лани,Полтавська,RTE-03,Полтава,Чорноморськ,highway,sunflower,612.0,612,1,TRK-06,MAN,TGX 18.440,23.5,2019,DRV-06,Микола Ткаченко,0.12,21.66,92.2,1.4,25186.248,191.17
TRP-00054,2022-07-06,2022-07-07,completed,CLT-02,ПП ДніпроЗерно,Дніпропетровська,RTE-02,Дніпро,Одеса,highway,corn,472.0,472,1,TRK-08,DAF,XF 480,25.0,2020,DRV-08,Юрій Дорошенко,0.13,22.99,92.0,1.7,19857.8424,228.22
TRP-00055,2022-07-06,2022-07-06,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,22.51,90.0,0.0,2142.0516,17.48
TRP-00056,2022-07-06,2022-07-07,delayed,CLT-01,ТОВ Соняшник-Агро,Кіровоградська,RTE-01,Кропивницький,Дніпро,highway,sunflower,246.0,246,0,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,20.16,80.6,7.1,12150.432,82.7
TRP-00057,2022-07-06,2022-07-07,completed,CLT-01,ТОВ Соняшник-Агро,Кіровоградська,RTE-01,Кропивницький,Дніпро,highway,sunflower,246.0,246,0,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,23.27,93.1,0.5,13738.608,82.7
TRP-00058,2022-07-07,2022-07-08,completed,CLT-02,ПП ДніпроЗерно,Дніпропетровська,RTE-02,Дніпро,Одеса,highway,sunflower,472.0,472,1,TRK-08,DAF,XF 480,25.0,2020,DRV-08,Юрій Дорошенко,0.13,21.82,87.3,1.4,19671.1664,148.8
TRP-00059,2022-07-08,2022-07-08,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-01,DAF,XF 105,22.0,2015,DRV-01,Олександр Ковальчук,0.12,25.33,115.1,1.3,2410.4028,23.91
TRP-00060,2022-07-08,2022-07-08,completed,CLT-08,ТОВ Пшеничний Шлях,Чернігівська,RTE-08,Чернігів,Київ,local,wheat,149.0,149,0,TRK-01,DAF,XF 105,22.0,2015,DRV-01,Олександр Ковальчук,0.12,18.94,86.1,1.3,5305.4728,68.52
TRP-00061,2022-07-08,2022-07-08,completed,CLT-08,ТОВ Пшеничний Шлях,Чернігівська,RTE-08,Чернігів,Київ,local,wheat,149.0,149,0,TRK-02,DAF,XF 106,23.0,2016,DRV-02,Віталій Бондаренко,0.12,15.91,69.2,1.1,4812.2977,57.81
TRP-00062,2022-07-08,2022-07-08,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-03,DAF,CF 85,21.5,2017,DRV-03,Сергій Мельник,0.12,15.29,71.1,1.7,1542.4552,27.28
TRP-00063,2022-07-08,2022-07-09,completed,CLT-06,АгроЛогістика Центр,Вінницька,RTE-06,Вінниця,Київ,highway,sunflower,267.0,267,0,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,22.75,94.8,0.4,14213.745,79.75
TRP-00064,2022-07-08,2022-07-08,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-08,DAF,XF 480,25.0,2020,DRV-08,Юрій Дорошенко,0.13,24.65,98.6,0.3,4941.832,35.31
TRP-00065,2022-07-08,2022-07-09,completed,CLT-11,ТОВ Нива Експорт,Одеська,RTE-10,Подільськ,Чорноморськ,highway,wheat,214.0,214,1,TRK-08,DAF,XF 480,25.0,2020,DRV-08,Юрій Дорошенко,0.13,22.33,89.3,1.4,7932.5092,67.46
TRP-00066,2022-07-08,2022-07-09,completed,CLT-11,ТОВ Нива Експорт,Одеська,RTE-10,Подільськ,Чорноморськ,highway,wheat,214.0,214,1,TRK-08,DAF,XF 480,25.0,2020,DRV-08,Юрій Дорошенко,0.13,18.81,75.3,1.7,7285.8654,67.46
TRP-00067,2022-07-08,2022-07-08,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,22.66,90.6,0.2,2156.3256,17.48
TRP-00068,2022-07-09,2022-07-10,completed,CLT-06,АгроЛогістика Центр,Вінницька,RTE-06,Вінниця,Київ,highway,corn,267.0,267,0,TRK-02,DAF,XF 106,23.0,2016,DRV-02,Віталій Бондаренко,0.12,21.43,93.2,1.3,13274.5992,103.6
TRP-00069,2022-07-09,2022-07-09,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-02,DAF,XF 106,23.0,2016,DRV-02,Віталій Бондаренко,0.12,23.0,100.0,0.7,4611.04,43.46
TRP-00070,2022-07-09,2022-07-09,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,17.15,71.4,1.3,1730.092,15.53
TRP-00071,2022-07-09,2022-07-09,completed,CLT-08,ТОВ Пшеничний Шлях,Чернігівська,RTE-08,Чернігів,Київ,local,wheat,149.0,149,0,TRK-04,Volvo,FH 460,24.0,2018,DRV-12,Роман Мороз,0.13,17.89,74.5,1.0,5411.1883,44.51
TRP-00072,2022-07-09,2022-07-11,delayed,CLT-03,ТОВ Полтавські Лани,Полтавська,RTE-03,Полтава,Чорноморськ,highway,corn,612.0,612,1,TRK-06,MAN,TGX 18.440,23.5,2019,DRV-06,Микола Ткаченко,0.12,22.76,96.8,11.7,23122.3392,191.17
TRP-00073,2022-07-09,2022-07-10,completed,CLT-02,ПП ДніпроЗерно,Дніпропетровська,RTE-02,Дніпро,Одеса,highway,sunflower,472.0,472,1,TRK-08,DAF,XF 480,25.0,2020,DRV-11,Тарас Гончар,0.13,24.32,97.3,1.1,21006.6432,148.8
TRP-00074,2022-07-09,2022-07-09,completed,CLT-05,ТОВ Соєвий Дім,Черкаська,RTE-05,Черкаси,Кременчук,local,soy,118.0,118,0,TRK-08,DAF,XF 480,25.0,2020,DRV-08,Юрій Дорошенко,0.13,22.63,90.5,0.7,7183.2146,37.2
TRP-00075,2022-07-09,2022-07-10,completed,CLT-02,ПП ДніпроЗерно,Дніпропетровська,RTE-02,Дніпро,Одеса,highway,corn,472.0,472,1,TRK-08,DAF,XF 480,25.0,2020,DRV-08,Юрій Дорошенко,0.13,22.74,91.0,1.4,19641.9024,148.8
TRP-00076,2022-07-09,2022-07-10,completed,CLT-06,АгроЛогістика Центр,Вінницька,RTE-06,Вінниця,Київ,highway,wheat,267.0,267,0,TRK-08,DAF,XF 480,25.0,2020,DRV-08,Юрій Дорошенко,0.13,22.23,88.9,1.5,13888.8594,96.24
TRP-00077,2022-07-09,2022-07-11,delayed,CLT-03,ТОВ Полтавські Лани,Полтавська,RTE-03,Полтава,Чорноморськ,highway,corn,612.0,612,1,TRK-09,Volvo,FH 500,25.0,2020,DRV-02,Віталій Бондаренко,0.12,23.01,92.0,17.8,23376.3192,205.74
TRP-00078,2022-07-09,2022-07-10,delayed,CLT-06,АгроЛогістика Центр,Вінницька,RTE-06,Вінниця,Київ,highway,sunflower,267.0,267,0,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,21.76,87.0,4.5,13479.0144,89.76
TRP-00079,2022-07-09,2022-07-10,completed,CLT-02,ПП ДніпроЗерно,Дніпропетровська,RTE-02,Дніпро,Одеса,highway,corn,472.0,472,1,TRK-10,Scania,G450,24.0,2021,DRV-10,Дмитро Лисенко,0.12,23.73,98.9,0.5,20497.0248,200.09
TRP-00080,2022-07-10,2022-07-10,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-01,DAF,XF 105,22.0,2015,DRV-01,Олександр Ковальчук,0.12,22.28,101.3,0.1,4466.6944,51.5
TRP-00081,2022-07-10,2022-07-10,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-02,DAF,XF 106,23.0,2016,DRV-02,Віталій Бондаренко,0.12,21.21,92.2,0.6,2051.4312,20.18
TRP-00082,2022-07-10,2022-07-12,completed,CLT-03,ТОВ Полтавські Лани,Полтавська,RTE-03,Полтава,Чорноморськ,highway,sunflower,612.0,612,1,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,22.12,92.2,0.3,22472.1504,182.81
TRP-00083,2022-07-10,2022-07-10,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-07,Mercedes,Actros 1845,24.0,2019,DRV-07,Петро Романюк,0.13,18.62,77.6,1.3,3858.064,54.93
TRP-00084,2022-07-10,2022-07-12,completed,CLT-03,ТОВ Полтавські Лани,Полтавська,RTE-03,Полтава,Чорноморськ,highway,corn,612.0,612,1,TRK-07,Mercedes,Actros 1845,24.0,2019,DRV-07,Петро Романюк,0.13,21.8,90.8,0.4,25349.04,172.22
TRP-00085,2022-07-10,2022-07-10,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-08,DAF,XF 480,25.0,2020,DRV-08,Юрій Дорошенко,0.13,18.75,75.0,0.7,3885.0,40.37
TRP-00086,2022-07-11,2022-07-11,delayed,CLT-08,ТОВ Пшеничний Шлях,Чернігівська,RTE-08,Чернігів,Київ,local,wheat,149.0,149,0,TRK-01,DAF,XF 105,22.0,2015,DRV-01,Олександр Ковальчук,0.12,18.05,82.0,4.9,5056.166,68.52
TRP-00087,2022-07-11,2022-07-13,completed,CLT-03,ТОВ Полтавські Лани,Полтавська,RTE-03,Полтава,Чорноморськ,highway,sunflower,612.0,612,1,TRK-03,DAF,CF 85,21.5,2017,DRV-03,Сергій Мельник,0.12,20.1,93.5,1.5,23372.28,158.67
TRP-00088,2022-07-11,2022-07-12,completed,CLT-01,ТОВ Соняшник-Агро,Кіровоградська,RTE-01,Кропивницький,Дніпро,highway,sunflower,246.0,246,0,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,22.9,95.4,0.2,13520.16,84.39
TRP-00089,2022-07-11,2022-07-11,completed,CLT-05,ТОВ Соєвий Дім,Черкаська,RTE-05,Черкаси,Кременчук,local,soy,118.0,118,0,TRK-05,Scania,R450,24.5,2018,DRV-05,Ігор Шевченко,0.13,20.59,84.0,1.6,6681.455,57.87
TRP-00090,2022-07-11,2022-07-11,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-05,Scania,R450,24.5,2018,DRV-05,Ігор Шевченко,0.13,25.26,103.1,1.8,2403.7416,25.5
TRP-00091,2022-07-11,2022-07-12,completed,CLT-02,ПП ДніпроЗерно,Дніпропетровська,RTE-02,Дніпро,Одеса,highway,sunflower,472.0,472,1,TRK-06,MAN,TGX 18.440,23.5,2019,DRV-06,Микола Ткаченко,0.12,22.65,96.4,1.0,19564.164,147.44
TRP-00092,2022-07-11,2022-07-11,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-07,Mercedes,Actros 1845,24.0,2019,DRV-07,Петро Романюк,0.13,24.38,101.6,1.0,2320.0008,14.63
